Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.00      1.77     0.00      198     0.00     0.00  std::deque<unsigned int, std::allocator<unsigned int> >::_M_reallocate_map(unsigned long, bool)
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::__niter_wrap<unsigned int**>(unsigned int** const&, unsigned int**)
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::__copy_move_a<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::__copy_move_a1<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::__copy_move_a2<false, unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
  0.00      1.77     0.00      198     0.00     0.00  unsigned int** std::copy<unsigned int**, unsigned int**>(unsigned int**, unsigned int**, unsigned int**)
  0.00      1.77     0.00      104     0.00     0.00  unsigned long const& std::max<unsigned long>(unsigned long const&, unsigned long const&)
  0.00      1.77     0.00      102     0.00     0.00  __gnu_cxx::new_allocator<char>::deallocate(char*, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  __gnu_cxx::new_allocator<char>::allocate(unsigned long, void const*)
  0.00      1.77     0.00      102     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      1.77     0.00      102     0.00     0.00  __gnu_cxx::new_allocator<char>::_M_max_size() const
  0.00      1.77     0.00      102     0.00     0.00  void std::bitset<56ul>::_M_check_initial_position<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long) const
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_get_allocator() const
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::data() const
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::max_size() const
  0.00      1.77     0.00      102     0.00     0.00  std::char_traits<char>::copy(char*, char const*, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::char_traits<char>::assign(char&, char const&)
  0.00      1.77     0.00      102     0.00     0.00  std::char_traits<char>::length(char const*)
  0.00      1.77     0.00      102     0.00     0.00  std::pointer_traits<char const*>::pointer_to(char const&)
  0.00      1.77     0.00      102     0.00     0.00  std::pointer_traits<char*>::pointer_to(char&)
  0.00      1.77     0.00      102     0.00     0.00  std::allocator_traits<std::allocator<char> >::deallocate(std::allocator<char>&, char*, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::allocator_traits<std::allocator<char> >::allocate(std::allocator<char>&, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::allocator_traits<std::allocator<char> >::max_size(std::allocator<char> const&)
  0.00      1.77     0.00      102     0.00     0.00  void std::bitset<56ul>::_M_copy_from_ptr<char, std::char_traits<char> >(char const*, unsigned long, unsigned long, unsigned long, char, char)
  0.00      1.77     0.00      102     0.00     0.00  void std::bitset<56ul>::_M_copy_from_string<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long, unsigned long, char, char)
  0.00      1.77     0.00      102     0.00     0.00  std::bitset<56ul>::bitset<char, std::char_traits<char>, std::allocator<char> >(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&, unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_destroy(unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_dispose()
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_capacity(unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::_Alloc_hider(char*, std::allocator<char> const&)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_Alloc_hider::~_Alloc_hider()
  0.00      1.77     0.00      102     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*)
  0.00      1.77     0.00      102     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct<char const*>(char const*, char const*, std::forward_iterator_tag)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data()
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_set_length(unsigned long)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy_chars(char*, char const*, char const*)
  0.00      1.77     0.00      102     0.00     0.00  void std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_construct_aux<char const*>(char const*, char const*, std::__false_type)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data(char*)
  0.00      1.77     0.00      102     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_S_copy(char*, char const*, unsigned long)
